Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Description,Environment,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Attachment,Custom field ((backup) Browser/s),Custom field ((backup) Exists in the current implementation?),Custom field ((backup) External issue ID - old),Custom field ((backup) Integrator),Custom field ((backup) Issue Occurred On),Custom field ((backup) Issue Status Comment),Custom field ((backup) Platform),Custom field ((backup) Root of the problem),Custom field ((backup) Test Type),Custom field ((backup) Test case priority),Custom field ((backup) Type of Issue),Custom field ((backup) Work Type),"Custom field ((backup, del) Test tasks)","Custom field ((tmp, del) Build/s)","Custom field ((tmp, del?) TestCase Link)",Custom field (Account),Custom field (Actual Result),Custom field (Affected Test Cases),Custom field (Affects Build/s),Custom field (Asana link),Custom field (BT Jira ID),Custom field (BT Project),Custom field (Basecamp Link),Custom field (Billable Category),Custom field (Browser),Custom field (Browser / Environment),Custom field (Browser Version),Custom field (Build/s),Custom field (Business Unit),Custom field (CQ ID),Custom field (CS Project Coordinator),Custom field (Case Study necessity postpone date),Custom field (Client Device),Custom field (Client Device Version),Custom field (Cloud Version),Custom field (Core issue),Custom field (Created By),Custom field (Development),Custom field (End Date),Custom field (Epic Link),Custom field (Epic/Theme),Custom field (Error Type),Custom field (Expected Result),Custom field (Flagged),Custom field (Found by),Custom field (Functionality Changes?),Custom field (Handled By (SGW Tester)),Custom field (Hardware Version),Custom field (Impact),Custom field (Impacted Areas),Custom field (Importance),Custom field (Iteration),Custom field (Level),Custom field (New Original Estimate),Custom field (Next Step),Custom field (Number of candidates),Custom field (Occurrence),Custom field (Original story points),Custom field (Parent Link),Custom field (Partner Contact),Custom field (Payment Status),Custom field (Planned Efforts (FTE)),Custom field (Priority Level),Custom field (Proxy Required),Custom field (RFX Coordinator),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Regional Coordinator),Custom field (Related Cases),Custom field (Reported Version),Custom field (Request Info From),Custom field (Revised),Custom field (Router),Custom field (SF Case No),Custom field (SGW Jira ID),Custom field (Severity/Importance),Custom field (Share with),Custom field (Solution),Sprint,Custom field (Start Date),Custom field (Supervisor),Custom field (TVS ID),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Team Role),Custom field (Test Type),Custom field (TestLink case),Custom field (Time Category),Custom field (To Attention Of),Custom field (Type of engagement),Custom field (URL),Custom field (Users),Custom field (Version To Fix),Custom field (WSJF),Custom field (Wiki Link),Custom field (Wires Link),Custom field (ZendeskID),Custom field (Обеспечение оборудованием),Comment
Book Session: Photo is displayed on the left side of the page,QATC-989969,3990747,Bug,Resolved,QATC,Training Center,software,a.golubovich,,,Major,FAD,,s.rashid,s.rashid,30/Apr/26 8:24 AM,30/Apr/26 11:23 AM,06/May/26 7:51 PM,30/Apr/26 11:23 AM,1.0,,GregOlsen.PhotoStudio,,0,,"Steps:
 # Go to [https://photostudio.demohoster.com/]
 # Select on ""Session"" menu
 # Click ""Book now"" for Mini Studio session
 # Observe  the picture location

Actual Result: Photo is displayed on the left side of the page.Please see [^bug45.png],[^req45.png]

Expected Result: Photo should be displayed first as per requirement.","OS: Windows 11 (64-bit)
Browser: Google Chrome (Version 147.0.7727.56 )",,,,,,,,,,Leads and Reporter only,"30/Apr/26 8:24 AM;s.rashid;bug45.png;https://jira.a1qa.com/secure/attachment/2780178/bug45.png","30/Apr/26 8:24 AM;s.rashid;req45.png;https://jira.a1qa.com/secure/attachment/2780177/req45.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,,,"0|ifu9ug:",9223372036854775807,,,,,,,,,4-Minor,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Book Session: The prices show 250 USD instead of 650 USD on Standard session,QATC-989962,3990739,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,s.rashid,s.rashid,30/Apr/26 8:13 AM,30/Apr/26 8:13 AM,05/May/26 5:59 AM,,1.0,,GregOlsen.PhotoStudio,,0,,"Steps:
 # Go to [https://photostudio.demohoster.com/]
 # Click on ""Session"" menu
 # Select ""Book now"" for Standard Session
 # Observe the prices

Actual Result: The prices show 250 USD instead of 650 USD on Book session page.Please see [^bug44.mp4]

Expected Result: The price should be 650 USD for Standard Session.
 

 ","OS: Windows 11 (64-bit)
Browser: Google Chrome (Version 147.0.7727.56 )

 ",,,,,,,,,,Leads and Reporter only,"30/Apr/26 8:08 AM;s.rashid;bug44.mp4;https://jira.a1qa.com/secure/attachment/2780167/bug44.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|ifu9so:",9223372036854775807,,,,,,,,,2-Major,,,,,,,,,,,,,,,,,,,,0.0,,,,,
"Book Information: Page Title is ""Book Session"" instead of ""Book Information""",QATC-989951,3990727,Bug,Resolved,QATC,Training Center,software,a.golubovich,,,Major,FAD,,s.rashid,s.rashid,30/Apr/26 7:58 AM,04/May/26 7:38 AM,05/May/26 5:58 AM,04/May/26 7:38 AM,1.0,,GregOlsen.PhotoStudio,,0,,"Steps:
 # Go to [https://photostudio.demohoster.com/]
 # Click on ""Session"" menu
 # Select ""None"" for Additional Subjects
 # Click ""Book"" button on Mini studio Session
 # Observe the page title

Actual Result: .Page Title is ""Book Session"" instead of ""Book Information"". Please see [^bug43.png]

Expected Result: Page title should be ""Book Information"".
 ","OS: Windows 11 (64-bit)
Browser: Google Chrome (Version 147.0.7727.56 )",,,,,,,,,,Leads and Reporter only,"30/Apr/26 7:57 AM;s.rashid;bug43.png;https://jira.a1qa.com/secure/attachment/2780154/bug43.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,,,"0|ifu9q0:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Book Info:  Phone field is set as text type,QATC-989941,3990717,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,s.rashid,s.rashid,30/Apr/26 7:44 AM,30/Apr/26 7:44 AM,05/May/26 5:58 AM,,1.0,,GregOlsen.PhotoStudio,,0,,"Steps:
 # Go to [https://photostudio.demohoster.com/]
 # Hover on ""Session"" menu
 # Select ""None"" for additional subject
 # Click ""Book"" button on Misi Studio session
 # Open inspect
 # Observe the type of Phone 

Actual Result: Phone field is set as text type. Please see [^bug42.png],[^bug42.mp4]

Expected result: Phone field should be numeric type.","OS: Windows 11 (64-bit)
Browser: Google Chrome (Version 147.0.7727.56 )",,,,,,,,,,Leads and Reporter only,"30/Apr/26 7:43 AM;s.rashid;bug42.mp4;https://jira.a1qa.com/secure/attachment/2780140/bug42.mp4","30/Apr/26 7:42 AM;s.rashid;bug42.png;https://jira.a1qa.com/secure/attachment/2780141/bug42.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|ifu9ns:",9223372036854775807,,,,,,,,,2-Major,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Book Info: “Save this information for next time ” button is not clickable,QATC-989933,3990709,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,s.rashid,s.rashid,30/Apr/26 7:35 AM,30/Apr/26 7:35 AM,05/May/26 5:58 AM,,1.0,,GregOlsen.PhotoStudio,,0,,"Steps:
 # Go to [https://photostudio.demohoster.com/]
 # Hover on ""Session"" menu
 # Select ""None"" on Additional subjects
 # Click ""Book"" button on Ministudio Session
 # Fill the form
 # Click Saving info button.

Actual Result: Save this information for next time ” button is not clickable. Please see [^bug41.mp4]

Expected Result: ""Save this information for next time” button should be clickable and allow saving the information.","OS: Windows 11 (64-bit)
Browser: Google Chrome (Version 147.0.7727.56 )",,,,,,,,,,Leads and Reporter only,"30/Apr/26 7:34 AM;s.rashid;bug41.mp4;https://jira.a1qa.com/secure/attachment/2780131/bug41.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|ifu9m0:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,
"Book Info: ""Keep me up to date on news"" checkbox is selected by default",QATC-989928,3990704,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,s.rashid,s.rashid,30/Apr/26 7:24 AM,30/Apr/26 7:24 AM,05/May/26 5:58 AM,,1.0,,GregOlsen.PhotoStudio,,0,,"Steps:
 # Go to [https://photostudio.demohoster.com/]
 # Hover on ""Session"" menu
 # Select ""None"" on additional subject
 # Click ""Book"" button on Mini Studio Session
 # Observe The checkbox

Actual Result: ""Keep me up to date on news"" checkbox is selected by default.Please see [^bug40.png],[^bug40.mp4]

Expected Result: “Keep it up” checkbox should be unselected by default

 ","OS: Windows 11 (64-bit)
Browser: Google Chrome (Version 147.0.7727.56 )",,,,,,,,,,Leads and Reporter only,"30/Apr/26 7:24 AM;s.rashid;bug40.mp4;https://jira.a1qa.com/secure/attachment/2780125/bug40.mp4","30/Apr/26 7:23 AM;s.rashid;bug40.png;https://jira.a1qa.com/secure/attachment/2780126/bug40.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|ifu9kw:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Book Info: Email field  allows maximum length of 10 characters instead of 100,QATC-989923,3990699,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,s.rashid,s.rashid,30/Apr/26 7:11 AM,30/Apr/26 7:11 AM,05/May/26 5:58 AM,,1.0,,GregOlsen.PhotoStudio,,0,,"Steps:
 # Go to [https://photostudio.demohoster.com/]
 # Hover on ""Session"" menu
 # Select ""None"" for additional subject
 # Click ""Book"" button on Misi Studio session
 # Open inspect
 # Observe the length of email

Actual Result: Email field  allows maximum length of 10 characters instead of 100 .Please see [^bug39.png]

Expected Result: Email field should allow maximum length of 100 characters as per requirement.
 ","OS: Windows 11 (64-bit)
Browser: Google Chrome (Version 147.0.7727.56 )",,,,,,,,,,Leads and Reporter only,"30/Apr/26 7:11 AM;s.rashid;bug39.png;https://jira.a1qa.com/secure/attachment/2780120/bug39.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|ifu9js:",9223372036854775807,,,,,,,,,4-Minor,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Clients: Clients without links are clickable and reload the page,QATC-989914,3990690,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,s.rashid,s.rashid,30/Apr/26 6:57 AM,30/Apr/26 6:57 AM,05/May/26 5:58 AM,,1.0,,GregOlsen.PhotoStudio,,0,,"Steps:
 # Go to [https://photostudio.demohoster.com/]
 # Hover on ""Connect"" menu
 # Click the ""Clients"" Page
 # Click on the image of ""Ashley & Rich Baccari""
 # Observe the changes

Actual Result:  Clients without links are clickable and reload the page. Please see [^bug38.mp4]

Expected Result: Clients without links should not be clickable
 

 ","OS: Windows 11 (64-bit)
Browser: Google Chrome (Version 147.0.7727.56 )",,,,,,,,,,Leads and Reporter only,"30/Apr/26 6:56 AM;s.rashid;bug38.mp4;https://jira.a1qa.com/secure/attachment/2780111/bug38.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|ifu9hs:",9223372036854775807,,,,,,,,,4-Minor,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Contact: Search button shape on the contact page is different from other pages.,QATC-989910,3990686,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,s.rashid,s.rashid,30/Apr/26 6:47 AM,30/Apr/26 6:47 AM,05/May/26 5:58 AM,,1.0,,GregOlsen.PhotoStudio,,0,,"Steps:
 # Go to [https://photostudio.demohoster.com/]
 # Hover on ""Connect"" menu
 # Click the ""Contact"" Page
 # Observe the ""Search"" button.

Actual Result:.Search button shape on the contact page is different from other pages. Please see [^bug37.png],[^req37.png]

Expected Result: Search button shape should be same as buttons used on other pages
 ","OS: Windows 11 (64-bit)
Browser: Google Chrome (Version 147.0.7727.56 )",,,,,,,,,,Leads and Reporter only,"30/Apr/26 6:45 AM;s.rashid;bug37.png;https://jira.a1qa.com/secure/attachment/2780107/bug37.png","30/Apr/26 6:47 AM;s.rashid;req37.png;https://jira.a1qa.com/secure/attachment/2780106/req37.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,,,"0|ifu9gw:",9223372036854775807,,,,,,,,,4-Minor,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Contact: Validation is shown only for the last name field,QATC-989905,3990681,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,s.rashid,s.rashid,30/Apr/26 6:36 AM,30/Apr/26 6:36 AM,05/May/26 5:58 AM,,1.0,,GregOlsen.PhotoStudio,,0,,"Steps:
 # Go to [https://photostudio.demohoster.com/]
 # Hover on ""Connect"" menu
 # Click the ""Contact"" Page
 # Fill subject field
 # fill the message from
 # click the ""Send  message"" button
 # Observe the changes

Actual Result: Validation is shown only for the last name field.Please see [^bug36.mp4]

Expected Result: Validation should be shown for all empty required fields or start from the first field","OS: Windows 11 (64-bit)
Browser: Google Chrome (Version 147.0.7727.56 )",,,,,,,,,,Leads and Reporter only,"30/Apr/26 6:36 AM;s.rashid;bug36.mp4;https://jira.a1qa.com/secure/attachment/2780101/bug36.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|ifu9fs:",9223372036854775807,,,,,,,,,2-Major,,,,,,,,,,,,,,,,,,,,0.0,,,,,
